date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:15	37673/37673	---M-Z	200	added ('OK')	text/html	etag:W/%22208ce010e0e49b36341cdc27cc9ae5f7-gzip%22	https://ritexnoe.weebly.com/	C:/My%20Web%20Sites/baru/ritexnoe.weebly.com/index.html	(from )
13:54:15	132/132	---M--	200	added ('OK')	text/plain	etag:W/%22e39f179c49651f5575d026df4a939e9b%22	https://ritexnoe.weebly.com/robots.txt		(from )
13:54:18	119248/119248	---M--	200	added ('OK')	image/jpeg	etag:%22ee64fd6663cce9260b96996815eb85b4%22	https://ritexnoe.weebly.com/uploads/1/3/9/4/139438429/downloader-la-62b2cc006224e_orig.jpg	C:/My%20Web%20Sites/baru/ritexnoe.weebly.com/uploads/1/3/9/4/139438429/downloader-la-62b2cc006224e_orig.jpg	(from https://ritexnoe.weebly.com/)
13:54:18	32871/32871	---M--	200	added ('OK')	image/jpeg	etag:%2257e9b04d9ad01d028c99cd88ce9074a0%22	https://ritexnoe.weebly.com/uploads/1/3/9/4/139438429/published/products.jpg?1655890918	C:/My%20Web%20Sites/baru/ritexnoe.weebly.com/uploads/1/3/9/4/139438429/published/products01a1.jpg	(from https://ritexnoe.weebly.com/)
13:54:18	13639/13639	---M--	200	added ('OK')	image/jpeg	etag:%228fb0cb97599d5957f79cbcd6f26d6064%22	https://ritexnoe.weebly.com/uploads/1/3/9/4/139438429/published/logo-campur.jpg?1655890899	C:/My%20Web%20Sites/baru/ritexnoe.weebly.com/uploads/1/3/9/4/139438429/published/logo-campur5b0d.jpg	(from https://ritexnoe.weebly.com/)
13:54:19	458607/458607	---M--	200	added ('OK')	image/png	etag:%2238cfbccd2b1f561a12f595a009b4b740%22	https://ritexnoe.weebly.com/uploads/1/3/9/4/139438429/bearings-group_orig.png	C:/My%20Web%20Sites/baru/ritexnoe.weebly.com/uploads/1/3/9/4/139438429/bearings-group_orig.png	(from https://ritexnoe.weebly.com/)
13:54:19	353865/353865	---M--	200	added ('OK')	image/png	etag:%224b68c9d114e7707e398041433712afc4%22	https://ritexnoe.weebly.com/uploads/1/3/9/4/139438429/thunderhex-bearing-1_orig.png	C:/My%20Web%20Sites/baru/ritexnoe.weebly.com/uploads/1/3/9/4/139438429/thunderhex-bearing-1_orig.png	(from https://ritexnoe.weebly.com/)
13:54:19	32730/32730	---M--	200	added ('OK')	image/jpeg	etag:%2209e7843d80b2e1a177acc5452f460055%22	https://ritexnoe.weebly.com/uploads/1/3/9/4/139438429/published/downloader-la-62b2e5ea6e184.jpg?1655893510	C:/My%20Web%20Sites/baru/ritexnoe.weebly.com/uploads/1/3/9/4/139438429/published/downloader-la-62b2e5ea6e184474c.jpg	(from https://ritexnoe.weebly.com/)
13:54:19	131558/131558	---M--	200	added ('OK')	image/jpeg	etag:%223b075ba45d9f0cf89f50d843dfef40dd%22	https://ritexnoe.weebly.com/uploads/1/3/9/4/139438429/downloader-la-62b2e5c84146d_orig.jpg	C:/My%20Web%20Sites/baru/ritexnoe.weebly.com/uploads/1/3/9/4/139438429/downloader-la-62b2e5c84146d_orig.jpg	(from https://ritexnoe.weebly.com/)
13:54:20	116632/116632	---M--	200	added ('OK')	image/jpeg	etag:%22de45fcc9748851d6db036795cf350def%22	https://ritexnoe.weebly.com/uploads/1/3/9/4/139438429/downloader-la-62b2e58470f1b_orig.jpg	C:/My%20Web%20Sites/baru/ritexnoe.weebly.com/uploads/1/3/9/4/139438429/downloader-la-62b2e58470f1b_orig.jpg	(from https://ritexnoe.weebly.com/)
13:54:22	210934/210934	---M-Z	200	added ('OK')	text/css	etag:W/%2264b1acc0-337f6%22	http://cdn2.editmysite.com/css/sites.css?buildTime=1656093173	C:/My%20Web%20Sites/baru/cdn2.editmysite.com/css/sites0289.css	(from https://ritexnoe.weebly.com/)
13:54:22	3911/3911	---M-Z	200	added ('OK')	text/css	etag:%2264b1acc6-f47%22	http://cdn2.editmysite.com/css/old/fancybox.css?1656093173	C:/My%20Web%20Sites/baru/cdn2.editmysite.com/css/old/fancyboxc159.css	(from https://ritexnoe.weebly.com/)
